org-slug,org-id,dep-id,dep-name,dep-version,latest-version,latest-version-published-date,first-published-date,is-deprecated,project-name,project-id,project-url
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ant:ant@1.6.3,ant:ant,1.6.3,1.7.0,2008-01-21T00:40:31.000Z,2005-11-01T16:07:18.000Z,false,snyk-api-import/jboss-eap-quickstart:wsat-simple/pom.xml,6bf5c87c-6f20-4428-a5ad-5f17abe45317,https://app.snyk.io/org/snyk-api-import-c6w/project/6bf5c87c-6f20-4428-a5ad-5f17abe45317
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ant:ant@1.6.3,ant:ant,1.6.3,1.7.0,2008-01-21T00:40:31.000Z,2005-11-01T16:07:18.000Z,false,snyk-api-import/jboss-eap-quickstart:wsba-participant-completion-simple/pom.xml,f090385c-c39d-4259-a6c7-3b8ee083084d,https://app.snyk.io/org/snyk-api-import-c6w/project/f090385c-c39d-4259-a6c7-3b8ee083084d
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ant:ant@1.6.3,ant:ant,1.6.3,1.7.0,2008-01-21T00:40:31.000Z,2005-11-01T16:07:18.000Z,false,snyk-api-import/jboss-eap-quickstart:wsba-coordinator-completion-simple/pom.xml,608ec10b-ee25-459f-aa7b-455793c8d5e5,https://app.snyk.io/org/snyk-api-import-c6w/project/608ec10b-ee25-459f-aa7b-455793c8d5e5
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,antlr:antlr@2.7.7,antlr:antlr,2.7.7,20030911,2005-08-01T09:23:53.000Z,2005-08-01T09:23:53.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,antlr:antlr@2.7.7,antlr:antlr,2.7.7,20030911,2005-08-01T09:23:53.000Z,2005-08-01T09:23:53.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,antlr:antlr@2.7.7,antlr:antlr,2.7.7,20030911,2005-08-01T09:23:53.000Z,2005-08-01T09:23:53.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,antlr:antlr@2.7.7,antlr:antlr,2.7.7,20030911,2005-08-01T09:23:53.000Z,2005-08-01T09:23:53.000Z,false,snyk-api-import/jboss-eap-quickstart:hibernate4/pom.xml,d4a64b69-ed0e-484c-97e7-4515f820e755,https://app.snyk.io/org/snyk-api-import-c6w/project/d4a64b69-ed0e-484c-97e7-4515f820e755
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,aopalliance:aopalliance@1.0,aopalliance:aopalliance,1.0,1.0,2005-08-01T09:23:54.000Z,2005-08-01T09:23:54.000Z,false,snyk-api-import/jboss-eap-quickstart:helloworld-errai/pom.xml,650e46fc-8ff2-4da8-aaed-83bbbfd7ac7c,https://app.snyk.io/org/snyk-api-import-c6w/project/650e46fc-8ff2-4da8-aaed-83bbbfd7ac7c
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,aopalliance:aopalliance@1.0,aopalliance:aopalliance,1.0,1.0,2005-08-01T09:23:54.000Z,2005-08-01T09:23:54.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,asm89/stack-cors@2.0.3,asm89/stack-cors,2.0.3,null,null,null,null,snyk-api-import/laravel-mix-with-yarn-2-pnp:composer.lock,cc326e32-67a5-4717-95db-dac0a151515e,https://app.snyk.io/org/snyk-api-import-c6w/project/cc326e32-67a5-4717-95db-dac0a151515e
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,asm:asm@3.1,asm:asm,3.1,3.3.1,2011-01-12T14:01:32.000Z,2005-08-01T09:23:54.000Z,false,snyk-api-import/jboss-eap-quickstart:helloworld-errai/pom.xml,650e46fc-8ff2-4da8-aaed-83bbbfd7ac7c,https://app.snyk.io/org/snyk-api-import-c6w/project/650e46fc-8ff2-4da8-aaed-83bbbfd7ac7c
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,brick/math@0.9.2,brick/math,0.9.2,null,null,null,null,snyk-api-import/laravel-mix-with-yarn-2-pnp:composer.lock,cc326e32-67a5-4717-95db-dac0a151515e,https://app.snyk.io/org/snyk-api-import-c6w/project/cc326e32-67a5-4717-95db-dac0a151515e
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,c3p0:c3p0@0.9.1.1,c3p0:c3p0,0.9.1.1,0.9.1.2,2007-08-23T10:06:40.000Z,2005-04-16T08:16:49.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,certifi@2021.10.8,certifi,2021.10.8,2022.12.7,2022-12-07T20:13:19.000Z,2011-12-28T07:27:42.000Z,false,snyk-api-import/miniforge:docs/requirements.txt,5a111509-6a5d-4177-9e4b-f261cc835d39,https://app.snyk.io/org/snyk-api-import-c6w/project/5a111509-6a5d-4177-9e4b-f261cc835d39
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,cglib:cglib-nodep@2.1_3,cglib:cglib-nodep,2.1_3,3.3.0,2019-08-12T14:29:54.000Z,2005-08-01T09:28:22.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,chardet@4.0.0,chardet,4.0.0,5.1.0,2022-12-01T22:34:14.000Z,2006-12-23T17:39:10.000Z,false,snyk-api-import/miniforge:docs/requirements.txt,5a111509-6a5d-4177-9e4b-f261cc835d39,https://app.snyk.io/org/snyk-api-import-c6w/project/5a111509-6a5d-4177-9e4b-f261cc835d39
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.cal10n:cal10n-api@0.7.2,ch.qos.cal10n:cal10n-api,0.7.2,0.8.1,2013-04-13T13:07:17.000Z,2009-09-01T15:55:46.000Z,false,snyk-api-import/jboss-eap-quickstart:deltaspike-helloworld-jms/pom.xml,fcc9890e-5842-4e1b-9b0b-a500f8417808,https://app.snyk.io/org/snyk-api-import-c6w/project/fcc9890e-5842-4e1b-9b0b-a500f8417808
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-access@1.0.9,ch.qos.logback:logback-access,1.0.9,1.4.5,2022-11-18T21:00:23.000Z,2006-08-25T16:33:19.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-classic@1.0.13,ch.qos.logback:logback-classic,1.0.13,1.4.5,2022-11-18T20:59:54.000Z,2006-08-23T16:43:32.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-classic@1.1.11,ch.qos.logback:logback-classic,1.1.11,1.4.5,2022-11-18T20:59:54.000Z,2006-08-23T16:43:32.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-classic@1.1.11,ch.qos.logback:logback-classic,1.1.11,1.4.5,2022-11-18T20:59:54.000Z,2006-08-23T16:43:32.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-core@1.0.13,ch.qos.logback:logback-core,1.0.13,1.4.5,2022-11-18T20:59:11.000Z,2006-08-23T16:41:38.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-core@1.1.11,ch.qos.logback:logback-core,1.1.11,1.4.5,2022-11-18T20:59:11.000Z,2006-08-23T16:41:38.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,ch.qos.logback:logback-core@1.1.11,ch.qos.logback:logback-core,1.1.11,1.4.5,2022-11-18T20:59:11.000Z,2006-08-23T16:41:38.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.codeborne:phantomjsdriver@1.3.0,com.codeborne:phantomjsdriver,1.3.0,1.5.0,2021-11-05T16:35:07.000Z,2014-12-03T22:59:08.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.codeborne:selenide@3.9.1,com.codeborne:selenide,3.9.1,6.10.1,2022-11-23T21:31:31.000Z,2012-02-10T00:57:28.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.codeborne:selenide@4.12.0,com.codeborne:selenide,4.12.0,6.10.1,2022-11-23T21:31:31.000Z,2012-02-10T00:57:28.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.fasterxml:classmate@1.3.3,com.fasterxml:classmate,1.3.3,1.5.1,2019-10-19T22:47:06.000Z,2010-11-16T23:22:23.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.fasterxml:classmate@1.3.3,com.fasterxml:classmate,1.3.3,1.5.1,2019-10-19T22:47:06.000Z,2010-11-16T23:22:23.000Z,false,snyk-api-import/Petclinic:petclinic/pom.xml,a3ccb7b9-f556-4400-b614-02095111e7dd,https://app.snyk.io/org/snyk-api-import-c6w/project/a3ccb7b9-f556-4400-b614-02095111e7dd
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.fasterxml.jackson.core:jackson-annotations@2.4.5,com.fasterxml.jackson.core:jackson-annotations,2.4.5,2.14.1,2022-11-21T23:26:53.000Z,2012-02-19T07:13:41.000Z,false,snyk-api-import/Petclinic:Supplements/pom.xml,9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19,https://app.snyk.io/org/snyk-api-import-c6w/project/9e8bca5e-4ce7-4b2d-a6cc-6f033b365c19
snyk-api-import-c6w,bea4b229-aa75-4913-b849-01fd7d4a3aa7,com.fasterxml.jackson.core:jackson-annotations@2.8.0,com.fasterxml.jackson.core:jackson-annotations,2.8.0,2.14.1,2022-11-21T23:26:53.000Z,2012-02-19T07:13:41.000Z,false,snyk-api-import/Petclinictest:pom.xml,f29a0e6b-4e32-41eb-9e28-9a66ee27c015,https://app.snyk.io/org/snyk-api-import-c6w/project/f29a0e6b-4e32-41eb-9e28-9a66ee27c015
